AlsoNoticed,BFROid,Class,County,Date,Environment,LocationDetails,Month,NearestRoad,NearestTown,NoName,Number of Records,Observed,OtherStories,OtherWitnesses,Season,SightingId,State,Submitted,TimeAndConditions,Title,URL,YearGroup,YearofSighting
"None, but then I kept well out of the woods after that unless I was with my father or brother.",1636,Class A,Baxter County,,"Deciduous forest, small ravine that flattened out quickly with patch of wooded area stretching through cleared pasture land. You''d have some woods then some clear spots then more woods. It was north central Arkansas -- the Ozarks -- lots of woods. I don'","Approximately 10 miles south of Mountain Home AR. Off of Hwy 5, close to the northern fringe of the Ozark National Forest.",Unknown,Hwy 5,Mountain Home,,1, I was standing about 10 feet down in the forest around a deep ravine not really too far from the house but it was right next to a patch of woods going back further south into the national forest. (The narrow patch of woods then stretched on northward.) <,,"I think I''d just gotten home from school and was wandering around outside after playing with my dog or something. I was a sophomore in high school, but rather sheltered and did not run around or do any partying in those days. We had just moved there that",Fall,84,Arkansas,"Submitted by witness Susan C on Thursday, November 05, 1998.",,Teenager has sighting near Ozark National Forest,http://www.bfro.net/GDB/show_report.asp?id=1636&PrinterFriendly=True,1972,1972
"I noticed the creature does not like dogs, or anthing that brings attention to it.",4093,Class A,Randolph County,,"We lived in a valley surrounded by hills, at the time very few people lived there & the countyside had a lot of brushes & trees to hide behind.",Randolph county between Pocahontas & Imboden AR about 1 1/2 miles down Squrriel Rd.,Unknown,Squrriel,,,1," My dog started barking at something on the hill, that is where the road is up on a ridge, our property descended down at a slope of about 20 degrees.  When dog started barking he would usually run up the hill to investigate, but not this time. I had tame",,"I was the only one who saw it, my parents still don''t believe me that I saw Bigfoot, they think I saw something because I was so scarred. I said if think it is my imagination what broke the fence? They said it was probabaly a horse, but horse doesn''t wa",Fall,131,Arkansas,"Submitted by witness Dennis M. on Wednesday, December 09, 1998.",,Daytime sighting between Pocahontas and Imboden,http://www.bfro.net/GDB/show_report.asp?id=4093&PrinterFriendly=True,1977,1977
,186,Class A,Saline County,,Just in the woods,,Unknown,Chicot Rd,East End,,1," My friend and I were in the woods near my house hiking when my friend fell and hurt his ancle. I wanted to see something ahead of us real quick before heding back to my house so he sits down while i go ahead. I walk about 50 feet, not quite out of sight",,My friend and I,Fall,133,Arkansas,"Submitted by witness on Sunday, August 27, 2000.","It was in the afternoon. Sunny clear, getting close to fall.",Two boys are chased by sasquatch,http://www.bfro.net/GDB/show_report.asp?id=186&PrinterFriendly=True,1998,1998
,1473,Class A,Siskiyou County,,"Dry, grassy, rocky, some pine type trees.",There is a monument or marker near the dirt road where you turn off the main Hwy (about 10 mi. north of Weed). I have not been there in a very long time.,Unknown,Old Oregon Trail,Weed,,1," Our family kept a bee yard near Mt. Shasta, on the old Oregon Trail.  One evening, after tending the bees, my father looked up towards the road home and saw a man standing near a stump of a tree.  Then he heard a sort of yip-yip-yipee sound, somewhere be",,,Fall,530,California,"Submitted by witness A. W. on Friday, January 26, 2001.","Evening, near sunset. Clear conditions.",Family has early evening sighting near Weed,http://www.bfro.net/GDB/show_report.asp?id=1473&PrinterFriendly=True,1966,1966
"I found a dead cow. He, bigfoot, looked young like he was in his 20''s, and his eyes where big, bright, and human looking.",9661,Class A,Kern County,,"Pine Forest, but it was flat land to the edge of the forest.","The Forest of Tehachapi, Ca. I''d have to take you there.",Unknown,,Tehachapi,,1," I was about 14 years old riding a horse on a ranch that my family owned. The ranch location is Tehachapi, California. I was on a trail going towards the edge of the forest, still on our property. When I reached the edge of the forest, there was a dead co","Not sure but, sure would like to know? Like I mentioned my Dad, said yes. But he is 90 now and say''s; Where is the bigfoot family? There has to be a mother and father somewhere? I said if he is still alive or dead he is there, and if dead his bones are t",Just me. I am willing to take poly if needed.,Fall,360,California,"Submitted by D.V. on Sunday, October 31, 2004.","It was noon, the sun was out, but it was cool.","At noon, a young lady on horse back has a face-to-face encounter",http://www.bfro.net/GDB/show_report.asp?id=9661&PrinterFriendly=True,1976,1976
,1653,Class A,Shasta County,,299 west is cut into the side of the mountain. it is heavily forrested on both sides.,All we know is it was a right curve leading to a left curve and so on. Haven''t been able to identify the curve since then but have tried.,Unknown,299 west; Buckhorn Mountain,"Redding, CA",,1," We saw ""bigfoot"" about 4 am in Shasta County, CA while driving on 299West.  It was 1978 or 1979 and we were driving from Weaverville, CA to Idaho. Upon reaching Susanville, CA we had a hard time buying gasoling because it was during the shortage.  We dec","I reported the incident some time later to a man in Redding, CA and was told there had been other sightings on 299 west (Buckhorn Mountain).",My husband and myself. Our child was asleep. We were driving home to Weaverville.,Fall,497,California,"Submitted by witness A. Y. on Sunday, February 04, 2001.",4am. weather clear and crispy cold.very dark except in headlights of the car.,Husband and wife have late night sighting on Highway 299,http://www.bfro.net/GDB/show_report.asp?id=1653&PrinterFriendly=True,1979,1979
,1549,Class A,Del Norte County,,,,Unknown,,,,1," This is my story; not very many people believe this.<BR><BR>When I was about 5 yrs old we lived in Hiouchi, Ca (1983). One day in the fall, I was staring out my living room window (it faced the woods), and I noticed something really big and hairy. It was",,,Fall,260,California,"Submitted by witness on Thursday, February 17, 2000.",,While looking out of her livingroom window when she was a child she saw a dark brown creature walk between two trees,http://www.bfro.net/GDB/show_report.asp?id=1549&PrinterFriendly=True,1983,1983
,3169,Class A,Sonoma County,,,,Unknown,116,Petaluma,,1," I was traveling to the coast toward Petaluma just past Sonoma area either Hwy 116 or 12, I don''t remember, around nine years ago and around 11 pm when out jumped somthing on the road.  There was a car coming toward us so this thing huge in stature turne",Yes my mother in-law and my wife who is from this area said they heard a sream one time that was heard across the area and was reported in the newspapers. The year I don''t know.,"One in the car with me, and the driver of on comming car",Fall,534,California,"Submitted by witness R. V. on Monday, October 01, 2001.",It was night time with headlights from both directions,Man sees creature crossing road near Petaluma,http://www.bfro.net/GDB/show_report.asp?id=3169&PrinterFriendly=True,1991,1991
"Yes sometime before this i remembered that in the Before our sighting:sheriffs log in the Intermountain newspaper a repoter, or someone had reported seeing two creatures almost 1 mile from the same location and he reported seeing two hairy creatures runni",6429,Class A,Shasta County,,"there are stands of pine trees next to the highway, and a ravine that leads up to hill of huge boulders, and rock piles.","Location was the last hill going south on 299 toBurney, and i remembered also as we observed this creature it did not look back at us, and it was walking in front of us on the opposite side of the road next to a tall caltrans 55 mile speed limit sign. A a",Unknown,"highway 299 east, and hwy 89 intersection.","Burney, California",,1," I believe that i saw bigfoot, with two other witnesses in the vehicle with me.  I seen a huge ape like animal that was reddish brown color, with long straggley looking hair hanging off it''s arms, and legs.  I also noted as it walked, its legs at the kne",,"their were two other witnesses, including myself, and all together there were three of us in the pick up. All of us were frightened and scared.",Fall,487,California,"Submitted by witness on Monday, June 02, 2003.","the sighting happened at night, and we were in a small pickup, and it was on a highway 299 north of Burney. The trucks headlights caught the creatuure walking in front of us going up a hill.",Woman recalls a nighttime sighting on Hwy. 299 near Burney,http://www.bfro.net/GDB/show_report.asp?id=6429&PrinterFriendly=True,1994,1994
,1377,Class A,Weld County,,"The terrain was typical Weld County terrain, with rolling hills, covered with prairie grasses and sage brush. There were scattered clumps of cottonwood trees and brush.","Rural road in Weld County, just west of Greeley, Colorado",Unknown,,"Greeley, Colorado",,1," I was riding in a car full of fellow teenagers out in the country just laughing, talking, and goofing around. It was a moonlit night, and we were foolishly driving without headlights, sometimes stopping, and then continuing on with or without headlights.",,We were doing what teenagers do when they first get their driver''s licenses - driving around and acting silly. No alcohol or drugs were involved.,Fall,730,Colorado,"Submitted by witness on Wednesday, September 23, 1998.",,creature seen coming up out of a dry irrigation ditch,http://www.bfro.net/GDB/show_report.asp?id=1377&PrinterFriendly=True,1972,1972
,13441,Class A,Teller County,,It was late summer or early fall because the aspens had just a bit of color but almost no leaves were on the ground. The campsite was near a hill or mountain that was fairly dense in aspen and pine trees.,,Unknown,possibly Hwy 67,,,1, We camped in the mountains a lot on the weekends as I was growing up. My dad liked to rough it compared to most. Sleep under the stars or in an old military tent and take only a few pots and a couple of fishing poles was pretty much all luxury we had exc,,I think there were only six people in our camp. Everyone seem to be soundly sleeping when this occurred.,Fall,728,Colorado,"Submitted by witness on Monday, January 02, 2006.",Sometime after midnight but before daylight. Night was clear and temperature was typical for early fall.,Woman describes night time sighting during childhood in the Pike National Forest,http://www.bfro.net/GDB/show_report.asp?id=13441&PrinterFriendly=True,1978,1978
,1373,Class A,Routt County,,"1.) Tracks ran across our path from on ridge, across the valley and up the other ridge. We ignored the tracks and did not follow them. 2.) The summit of Emerald mountain is very steap, and in the direction that the noise came from there was not much cover","1.) Routt National Forest, Routt County Colo. just off Hwy 40 My girlfriend and I were snowshoeing about 3 miles off the road. 2.) Emerald Mountain, Steamboat Springs, Colo. I was riding my mountain bike, near the summit.",Unknown,,,,1," 1.) October 1996 after the second or third snow of the season. 2.) July 1997. <BR><BR>1.) Huge footprints with a couple inches of snow over them. But the stride was masive and could not be duplicated by myself, and was not elk or dear tracks. <BR><BR>2.)",,"1.) Snowshoeing on a 5 mile loop, near Rabbit Ears Pass. 2.) Out on a mountain bike ride by myself.",Fall,714,Colorado,"Submitted by witness on Monday, September 08, 1997.",,Outdoorsman finds tracks in snow in Fall ; possible stalking encounter while mountain biking the following summer,http://www.bfro.net/GDB/show_report.asp?id=1373&PrinterFriendly=True,1996,1996
see description about green leafy material as camoflague(sp?),2566,Class A,Alachua County,,"near woods, and some cleared pasture, by a creek bed that led to miles of un-trammeled woods",Near county road 237 and NW 156th Steet(or Ave?everything has been re-numbered for 911 addresses,Unknown,US 441,Alachua,,1," Alachua County, Florida, around 1985<BR>We lived in the country, with thousands of wild acres around our five acre plot.  While walking on  our paved road in front of our house one morning, I saw a creature cross the road about 250 yards from me.  I am a",no,just me,Fall,742,Florida,"Submitted by witness M.R. MA on Tuesday, May 22, 2001.","clear morning, daughter had just left for school and I was taking a walk",College Psychology Teacher observes Bigfoot crossing road. Animal has covering of leaves and/or palm branches,http://www.bfro.net/GDB/show_report.asp?id=2566&PrinterFriendly=True,1985,1985
"She said she thought is was a bum in a army jacket, but as she got closer, it wasn''t.",9545,Class A,Holmes County,,"swamping land, low lying area, big pines, and some fields near by.","The road in between Geneva, Alabama and the Rural community of Sweet Gum Head, Florida.",Unknown,Hwy 27,"Geneva, Alabama",,1," My sister, one late night was coming from work in Geneva, Alabama.  She was passing thur another rural community not far from our home, in Holmes Co. Fl. She said she saw something ahead of her about 300 feet big and hairy standing near the road and the","Not at this time, none if known.",Just my sister.,Fall,823,Florida,"Submitted on Saturday, October 16, 2004.",,Motorist has morning sighting on road outside Sweet Gum Head,http://www.bfro.net/GDB/show_report.asp?id=9545&PrinterFriendly=True,1988,1988
"Just your typical fall day at dusk, clear skies, temp around 75 degrees.",730,Class A,Okaloosa County,,Pine swamp. Lowlands with gullies and creeks. Railroad tracks do run through the area. Eglin AFB boundry nearby. Dense woods for miles with few roads. Elevation approx. 80ft. above sea level.,"Valparaiso, Florida. 2 miles North on Hwy. 85. Border of Eglin AFB reservation. Okaloosa Cty. Fla",Unknown,Hwy 85,Valparaiso,,1," At Dusk, 4 people and myself witness a comotion in woods nearby. Sounds as if something large is approaching. As it gets closer we see a large humanoid form and flee. This thing is big, upright, and does not respond to yelling at. All witnesses flee in p",,Witnesses and self were parked on sandy dirt road trying to find a road out of area when commotion ocured.,Fall,875,Florida,"Submitted by witness E.C. on Thursday, January 08, 1998.",,"Sighting by Five witnesses of a large, humanoid form.",http://www.bfro.net/GDB/show_report.asp?id=730&PrinterFriendly=True,1996,1996
No one else wanted to hang around to check out the area in which the creature crossed. Due to the vehicles noise nothing was heard.,17089,Class A,Liberty County,,Swamp with thick vegetation on either side of dirt road. Vegetation in area was approximately 10-12 feet at its highest,"North east part of Fort Stewart in a training area. Surrounded by Highway 119, 144 and I-95 This area is relatively swampy with thick vegeation in most parts. Occured on a dirt road. Would have to look at a map of Ft. Stewart to show close to exact area.",Unknown,Highway 144,Ft. Stewart,,1," Let me set up the story with some information that is pertinent to the situation. I was in the Army stationed at Fort Stewart, Georgia. My job at the time was as a gunner on a Bradley Fighting Vehicle. My unit was in the field conducting a training exerc","After observing the creature, the next morning at breakfeast I took some heavy ribbing over seeing Bigfoot. A soldier came up to me and stated his father had been stationed at Ft Stewart during the 60''s. This soldier was sincere in saying that his father",I was the only person out of three to observe the creature.,Fall,986,Georgia,"Submitted by witness on Saturday, December 23, 2006.",Approximately 2AM. Totally dark with maybe a little bit of lunar illumination. Can''t remember about clouds.,Night sighting through thermal viewer by soldier on Fort Stewart,http://www.bfro.net/GDB/show_report.asp?id=17089&PrinterFriendly=True,1998,1998
"Heard of sightings near Montpelier reservoir west of elk valley, that same summer/fall.",1796,Class A,Bear Lake County,,"Aspen, pines, clearing, ponds. approx 7000 ft elev. bloody bucket, elk valley, near Montpelier, Id.","Elk Valley in Bear Lake Co. east of Montpelier, Idaho near Wyoming. Specifically at some beaver ponds called ""The Bloody Bucket"".",Unknown,,Montpelier,,1, Either late august or early september 1982 or 1983 at the opening of archery season. <BR><BR>Several friends and myself were camping near Elk Valley with our dads at our annual bow camp. One morning we started our hunt at the top of a thick area of timbe,"Heard of sightings near Montpelier reservoir west of elk valley, that same summer/fall.","Walking through the trees into the opening, hunting for mule deer and elk.",Fall,1072,Idaho,"Submitted by witness on Sunday, March 28, 1999.",Morning.,Elk hunter observes an apparent family group,http://www.bfro.net/GDB/show_report.asp?id=1796&PrinterFriendly=True,1983,1983
I have never seen anything like this before or after.,24544,Class A,Pulaski County,,"The area does have swamp, but located a few miles away. The specific area was very rural outside of Shawnee National Forest. Many fields and wooded areas.","Two or three miles just outside of Karnak. I don''t know the name of the road. I think its called Hillcrest RD, turns into 6th street once you get into town.",Unknown,"Country road on outside of town, Illinois Route 169.",Karnak,,1," I was driving back to my home at night.  It was 1999.  Not sure what day of the week, but it was a week day.  I was driving at night back from a friend''s house in a town close by.  At the time I resided in a small village in IL named Karnak pop only abo",None that I know of.,,Fall,1223,Illinois,"Submitted by witness on Tuesday, August 19, 2008.","Around 11 PM, clear night. I don''t remember the exact weather, but my windows were down in my car and it was a clear night.",Motorist has a nighttime sighting near Karnak,http://www.bfro.net/GDB/show_report.asp?id=24544&PrinterFriendly=True,1999,1999
,23104,Class A,Macon County,,Deciduous forest near a creek,A little gravel road by Spitler Woods State Park.,Unknown,Illinois Route 121,Mt.Zion,,1," Me and my mom were driving home from dropping a friend off when about a 7 1/2-foot-tall creature ran across the road. It had brownish-red fur, its arms were longer than a human''s could ever be. The whole thing lasted about 5 seconds.",,My mother,Fall,1191,Illinois,"Submitted by witness on Thursday, February 07, 2008.",8:30 p.m. 3/4 moon a little foggy,Motorist and son observe road crossing near Spitler Woods State Park,http://www.bfro.net/GDB/show_report.asp?id=23104&PrinterFriendly=True,2006,2006
,26605,Class A,Magoffin County,,just hills and woods,,Unknown,1081,salyersville,,1,my grandfather told me about seeing a thing he said looked like a ape when he was was hunting at harvest in Magoffin county when he was younger.<BR>said he didnt shoot it because he didnt know what it was.<BR>im writing this because he dont know how to us,he told me his dad seen something there when he was hunting a few years earlier.,just 1,Fall,1406,Kentucky,"Submitted by witness on Thursday, September 17, 2009.",day evening time,Man recalls early morning sighting while squirrel hunting near Salyersville,http://www.bfro.net/GDB/show_report.asp?id=26605&PrinterFriendly=True,1972,1972
"Many years before, my grandfather was clearing a hilltop about 3 miles up the road. I can remember him saying something threw rocks at him one day, large rocks that were threw with great force. He was a no nonsense sort of man, but he could never explain",2383,Class A,Henry County,,"Steep hillsides, with small bottom land and creeks. Large oak, maple and cedar trees, lots of underbrush.","It''s been a long time since we lived there. If you go to Lockport, go straight through town heading west. Joes Branch road is an old gravel road that heads out of town. It is approximately 15 miles long. The other end comes out near Bethlehem. Our house",Unknown,Joes Branch Road,Lockport,,1," In the fall of 1978 we were in the house eating supper. Our house was built into the hillside.The front yard dropped off 200 feet to the road below, then dropped again to a small creek. Across this creek was our horse barn and chicken coop located in a s","I recieved this computer for Christmas, and my family has been fascinated by your web site. As we were sitting discussing some of your stories one day in Feb., 2000, my mother and father exchanged odd looks. When I asked them what was the matter, my fathe","2 witnesses, my brother and myself",Fall,1379,Kentucky,"Submitted by witness K. D. on Saturday, March 11, 2000.","Just after sunset, it was a bright moon-lit night,clear sky","Tall, hairy creature observed standing near a hitching post near family barn..",http://www.bfro.net/GDB/show_report.asp?id=2383&PrinterFriendly=True,1978,1978
,8715,Class A,Grant County,,"Wooded, along a roadside cut, lithology appeared to be massive sandstone.","30-40 miles south of Cincinnati, OH on Interstate 75.",Unknown,Interstate 75,40 miles S of Cincinnati,,1," I saw something along Interstate 75 South in Kentucky, maybe 30-40 miles south of Cincinnati. I don''t recall exactly where along that highway I was at the time, somewhere after three lanes had been reduced to two. And it happened 4-5 years ago, in 1999",,No other witnesses.,Fall,1373,Kentucky,"Submitted by witness on Wednesday, May 19, 2004.","Late at night, no light but my car headlights, no rain or snow, road was dry.",Motorist has nighttime sighting of animal along Interstate 75,http://www.bfro.net/GDB/show_report.asp?id=8715&PrinterFriendly=True,2000,2000
,26372,Class A,Ionia County,,Very small town (3 blocks X 4 blocks) in a rural area surrounded by fields bordered by woods and swamp. It was the side of the house next to an empty over-grown lot and under some trees.,"Front St. Palo, Michigan",Unknown,Van Vleck HWY,"Palo, Michigan",,1,I was getting ready to take a bath and I saw a huge shaggy typical bigfoot looking thing standing outside the bathroom window. It was very shaggy and very tall. It''s head and shoulders blocked most of the window which was about 6 feet off the ground.<BR>,"About 15 years later, and 1 mile from Palo, my kids and I were walking in a field at night and heard something that sounded like a horrible screaming that seemed like a mix of human and animal. It wasn''t a lynx or bear kind of noise. It wasn''t high pitc",One,Fall,1566,Michigan,"Submitted by witness on Monday, August 03, 2009.",About 7pm and very dark,Homeowner recalls a sighting outside her window and hearing strange vocalizations near Palo,http://www.bfro.net/GDB/show_report.asp?id=26372&PrinterFriendly=True,1983,1983
NO,20100,Class A,Marquette County,,"POPULAR TREES ABOUT 4 INCHES ACROSS, NOT FAR FROM THE RIVER,STATE LAND,",CO RD 557,Unknown,CO RD 557/CO RD SW,GWINN,,1," I WAS WITH MY FRIEND RICK. HE WAS DRIVING US DOWN COUNTY RD SW IN WELLS TOWNSHIP, HEADING WEST TOWARDS  COUNTY RD 557. WE HAD BEEN MOVING ALONG SLOWLY TOWARD 557. I COULD SEE THE PAVEMENT AND THE SUN WAS SHINNING BRIGHT ON IT. THERE WERE SMALL TREES THAT",,WE WERE BOTH 17 YEARS OLD WE WERE COMING BACK FROM BAITING OUR DEER BLINDS. WE WERE BOTH SOBER!,Fall,1597,Michigan,"Submitted by witness on Friday, July 06, 2007.","EVENING,SUNNY WITH SHADOWS,IT WAS A COUPLE OF HOURS BEFORE SUNSET.",Daylight sighting by hunters near Gwinn (Upper Peninsula),http://www.bfro.net/GDB/show_report.asp?id=20100&PrinterFriendly=True,1990,1990
"the reseason my friend reacted the way he did was because he had a prior experience that he never admitted to until that night. he reacted physically as well as verbally when i stopped to back up. he didn''t lash out, it was more panic.",25622,Class A,Oscoda County,,hilly pine forest dotted with numerous swamps.,m33 north from rose city to hughes lake road (pink store on the corner)east to a trail that turns into deckerville road. unsure of the number. at the edge of a place the older locals call grandview valley.,Unknown,hughes lake road/deckerville road,rose city/lupton,,1," i had a friend who lived a few miles away. one night when he was out of town his girlfriend at the time and her daughter, called and said that their dog had a seizure and wouldn''t let them out of the bedroom. she had called him and he told her to call m","three. 1. my cousin saw something when hunting. he won''t tell me the whole story but he won''t go back there either. 2. the prior encounter my friend had who was with me that night. he was hunting on family property when he saw ""a man wearing fur"" leanin",my friend and myself. we had been watching TV and then rescued the two damsels in distress.,Fall,1623,Michigan,"Submitted by witness NO on Thursday, March 12, 2009.","late night, by headlights. it was cold the ground was frozen but there was no snow.",Two men see a bigfoot cross a road near Rose City,http://www.bfro.net/GDB/show_report.asp?id=25622&PrinterFriendly=True,1997,1997
